diseasename,genesymbol,pvalue,fc
Disease type: Adenomyosis,COX1,0.00221866374655233,5481.76381
Disease type: Adenomyosis,ND2,5.67814468455108e-06,1607.3197
Disease type: Adenomyosis,ATP6,0.00162769597186863,4518.3873
Disease type: Adenomyosis,COX2,1.46459496527251e-05,2578.01299
Disease type: Adenomyosis,COX2,4.42136047196229e-06,3205.68375
Disease type: Adenomyosis,ND3 /// SH3KBP1,0.000135212302452281,4234.56393
Disease type: Adenomyosis,empty,0.00691878542634417,1677.3971
Disease type: Adenomyosis,RPL35,0.00237713192819933,1047.429545
Disease type: Adenomyosis,MIR6805 /// RPL28,0.00397836575567567,1431.706477
Disease type: Adenomyosis,RPL11,0.000671924663440682,1626.04323
Disease type: Adenomyosis,RPL24,0.00930882352744455,2381.45078
Disease type: Adenomyosis,RPS27A,0.000746430413742782,2574.63321
Disease type: Adenomyosis,LOC100508408 /// RPS13 /// SNORD14B,0.00353184480249813,2742.95234
Disease type: Adenomyosis,RPS5,0.00416503117141787,949.748497
Disease type: Adenomyosis,RPL27,0.00998295541448668,2444.56134
Disease type: Adenomyosis,RPL34,0.00241486660100898,2535.75245
Disease type: Adenomyosis,RPL19,0.00636721419756248,1773.04975
Disease type: Adenomyosis,RPS11 /// SNORD35B,0.000991021240904666,3443.99701
Disease type: Adenomyosis,RPL9,0.00199735551685531,3732.4673
Disease type: Adenomyosis,RPL10A,0.00508982828875026,1011.54041
Disease type: Adenomyosis,C18orf32 /// RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C,0.0048928244508325,2382.75654
Disease type: Adenomyosis,RHOA,0.00297420555802641,772.680207
Disease type: Adenomyosis,RPS24,0.00092791571234685,3414.39824
Disease type: Adenomyosis,RPS6,0.00862238570485263,2305.37417
Disease type: Adenomyosis,NBEAL1 /// RPL12,0.00228045360925289,1738.59651
Disease type: Adenomyosis,RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C,0.00350781406339307,1290.065574
Disease type: Adenomyosis,RPS3A /// SNORD73A,0.00471923353323667,2812.89902
Disease type: Adenomyosis,UBB,0.00581964825114056,1763.60631
Disease type: Adenomyosis,PFN1,0.00900186042262874,650.642644
Disease type: Adenomyosis,LDHA,0.000888047499208344,333.93464
Disease type: Adenomyosis,RPL32,0.00124979944293879,2332.74465
Disease type: Adenomyosis,GSN,0.000262490124474546,997.942971
Disease type: Adenomyosis,RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A,0.000579622730844331,3584.66887
Disease type: Adenomyosis,RPL7,0.00438461593944317,3471.27597
Disease type: Adenomyosis,SKP1,0.00812346162034783,1080.254793
Disease type: Adenomyosis,NACA,0.0048942807275334,1974.38809
Disease type: Adenomyosis,PGK1,0.00887429285044283,296.539077
Disease type: Adenomyosis,RPS27,0.000233321637110984,3779.3534
Disease type: Adenomyosis,RPLP1,0.00222129327082154,3656.55167
Disease type: Adenomyosis,RPS15A,0.0045117820981434,2262.19833
Disease type: Adenomyosis,SPARCL1,0.00914301474311252,2698.66017
Disease type: Adenomyosis,ACTB,0.000201229104150547,4592.91363
Disease type: Adenomyosis,RPL12,0.00413503338050614,1808.77971
Disease type: Adenomyosis,RPS10,0.00402937993766783,2594.33814
Disease type: Adenomyosis,RPS15,0.000531998906756148,1953.50727
Disease type: Adenomyosis,RPL18A /// SNORA68,0.000747517531317854,1000.304417
Disease type: Adenomyosis,S100A10,0.00555409789200867,252.530283
Disease type: Adenomyosis,RPLP2 /// SNORA52,0.0083277771999769,2445.3377
Disease type: Adenomyosis,RPS23,0.00711361260374732,4034.97121
Disease type: Adenomyosis,RPS4X,0.00257538813560054,3865.15658
Disease type: Adenomyosis,RPL8,0.0049336452445532,1382.826244
Disease type: Adenomyosis,RPL5 /// SNORD21,0.00788352472221909,1993.13442
Disease type: Adenomyosis,RPS20 /// SNORD54,0.00256772225391,2231.7221
Disease type: Adenomyosis,RPL31,0.00340571698443504,3522.01839
Disease type: Adenomyosis,ALDOA,0.00161438517960322,157.098881
Disease type: Adenomyosis,ANXA1,0.00151319838954689,188.0438826
Disease type: Adenomyosis,DSTN,0.00531865890881844,2142.59741
Disease type: Adenomyosis,RPS18,0.00177172624136301,4103.92301
Disease type: Adenomyosis,RPS29,0.00326674275377969,2391.81234
